imdbid,bechdel_rating,title,year,binary,budget_2013,domgross_2013,intgross_2013,genres,A,B,C,averageRating,numVotes
181739,3,Osmosis Jones,2001,FAIL,92109217,17891440.0,17891440.0,"Action,Adventure,Animation",Action,Adventure,Animation,6.3,30226
230600,3,"Others, The",2001,PASS,22369381,127008987.0,276257960.0,"Horror,Mystery,Thriller",Horror,Mystery,Thriller,7.6,318257
213149,2,Pearl Harbor,2001,FAIL,199350663,261247866.0,591130447.0,"Action,Drama,History",Action,Drama,History,6.2,296561
247638,3,"Princess Diaries, The",2001,PASS,39475379,142433448.0,217555094.0,"Comedy,Family,Romance",Comedy,Family,Romance,6.3,118501
206275,3,Save the Last Dance,2001,PASS,17105997,119792347.0,173215693.0,"Drama,Music,Romance",Drama,Music,Romance,6.2,54583
256380,3,Shallow Hal,2001,PASS,52633838,93209654.0,93209654.0,"Comedy,Drama,Fantasy",Comedy,Drama,Fantasy,5.9,122012
286112,0,Shaolin Soccer,2001,FAIL,13158460,643280.0,56286669.0,"Action,Comedy,Fantasy",Action,Comedy,Fantasy,7.2,69935
126029,1,Shrek,2001,FAIL,65792298,352192764.0,647149877.0,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,7.8,573514
227538,3,Spy Kids,2001,PASS,46054609,148285394.0,260132301.0,"Action,Adventure,Comedy",Action,Adventure,Comedy,5.4,101481
247745,1,Super Troopers,2001,FAIL,3947538,24333100.0,30325173.0,"Comedy,Crime,Mystery",Comedy,Crime,Mystery,7.1,92085
139654,1,Training Day,2001,FAIL,59213068,100347776.0,137512958.0,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.7,362534
242998,2,Valentine,2001,FAIL,13158460,26822383.0,26822383.0,"Horror,Mystery,Thriller",Horror,Mystery,Thriller,4.8,23672
259711,1,Vanilla Sky,2001,FAIL,92109217,132393654.0,266756984.0,"Fantasy,Mystery,Romance",Fantasy,Mystery,Romance,6.9,236924
181875,3,Almost Famous,2000,PASS,81174503,43999763.0,64088881.0,"Adventure,Comedy,Drama",Adventure,Comedy,Drama,7.9,237854
163978,1,"Beach, The",2000,FAIL,67645419,53816800.0,53816800.0,"Adventure,Drama,Romance",Adventure,Drama,Romance,6.7,211388
221889,3,Beautiful Creatures,2000,PASS,67645419,26316961.0,75682603.0,"Comedy,Crime,Drama",Comedy,Crime,Drama,5.9,3345
181984,1,Boiler Room,2000,FAIL,12176175,22950688.0,38928095.0,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.0,46929
204946,3,Bring It On,2000,PASS,13529084,92476091.0,122375366.0,"Comedy,Romance,Sport",Comedy,Romance,Sport,6.0,82269
162222,2,Cast Away,2000,FAIL,114997212,316082883.0,578003746.0,"Adventure,Drama,Romance",Adventure,Drama,Romance,7.8,481743
173716,3,Cecil B. Demented,2000,PASS,13529084,1727642.0,2643423.0,"Comedy,Crime,Thriller",Comedy,Crime,Thriller,6.2,12803
209958,2,"Cell, The",2000,FAIL,47351793,82907528.0,116230018.0,"Horror,Sci-Fi,Thriller",Horror,Sci-Fi,Thriller,6.3,90951
210616,3,Center Stage,2000,PASS,24352351,23271276.0,23271276.0,"Drama,Music,Romance",Drama,Music,Romance,6.7,17740
160127,3,Charlie&#39;s Angels,2000,PASS,121761754,169526922.0,351399133.0,"Action,Adventure,Comedy",Action,Adventure,Comedy,5.5,165762
120630,3,Chicken Run,2000,PASS,56822152,144482383.0,308184297.0,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,7.0,166640
200550,3,Coyote Ugly,2000,FAIL,60880877,82238253.0,156648214.0,"Comedy,Drama,Music",Comedy,Drama,Music,5.7,102052
168629,3,Dancer in the Dark,2000,PASS,16911355,5624704.0,61635111.0,"Crime,Drama,Musical",Crime,Drama,Musical,8.0,95163
242423,2,"Dude, Where&#39;s My Car",2000,FAIL,18940717,63220562.0,99006237.0,"Comedy,Mystery,Sci-Fi",Comedy,Mystery,Sci-Fi,5.5,129810
120917,3,"Emperor&#39;s New Groove, The",2000,PASS,135290838,120810082.0,229042753.0,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,7.3,165144
219699,3,"Gift, The",2000,FAIL,13529084,16246592.0,60295888.0,"Drama,Fantasy,Horror",Drama,Fantasy,Horror,6.6,59677
172495,0,Gladiator,2000,FAIL,139349563,253918993.0,619204256.0,"Action,Adventure,Drama",Action,Adventure,Drama,8.5,1238982
187078,1,Gone in Sixty Seconds,2000,FAIL,139755436,137513677.0,314744675.0,"Action,Crime,Thriller",Action,Crime,Thriller,6.5,248882
146882,2,High Fidelity,2000,FAIL,27058168,36903356.0,64779503.0,"Comedy,Drama,Music",Comedy,Drama,Music,7.5,160029
164052,3,Hollow Man,2000,PASS,121761754,99045530.0,258676083.0,"Action,Horror,Sci-Fi",Action,Horror,Sci-Fi,5.8,116348
199725,3,Love &amp; Basketball,2000,PASS,20293626,37125324.0,37488584.0,"Drama,Romance,Sport",Drama,Romance,Sport,7.2,16958
212346,3,Miss Congeniality,2000,PASS,60880877,144500988.0,288738993.0,"Action,Comedy,Crime",Action,Comedy,Crime,6.2,173183
183523,1,Mission to Mars,2000,FAIL,121761754,82357777.0,143408288.0,"Adventure,Sci-Fi,Thriller",Adventure,Sci-Fi,Thriller,5.7,67669
190590,0,"O Brother, Where Art Thou?",2000,FAIL,35175618,61566286.0,102501499.0,"Adventure,Comedy,Crime",Adventure,Comedy,Crime,7.7,268427
187393,3,"Patriot, The",2000,FAIL,148819922,153325570.0,291281175.0,"Action,Drama,History",Action,Drama,History,7.2,240699
199753,0,Red Planet,2000,FAIL,108232671,23650043.0,45273684.0,"Action,Sci-Fi,Thriller",Action,Sci-Fi,Thriller,5.7,53065
210945,3,Remember the Titans,2000,FAIL,40587251,156470282.0,184951617.0,"Biography,Drama,Sport",Biography,Drama,Sport,7.8,186713
122459,3,Return to Me,2000,FAIL,32469801,44189098.0,44189098.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,6.9,18702
138749,0,"Road to El Dorado, The",2000,FAIL,128526296,68731346.0,88886081.0,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,6.9,76921
165929,0,Romeo Must Die,2000,FAIL,33822710,75726795.0,123164396.0,"Action,Crime,Thriller",Action,Crime,Thriller,6.1,63926
213203,3,Rugrats in Paris:,2000,PASS,40587251,103499437.0,139734889.0,"Adventure,Animation,Comedy",Adventure,Animation,Comedy,6.1,10305
203119,2,Sexy Beast,2000,FAIL,5817506,9397377.0,13738212.0,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.3,50907
184894,1,Shanghai Noon,2000,FAIL,74409961,77024193.0,96313324.0,"Action,Adventure,Comedy",Action,Adventure,Comedy,6.5,113398
146309,1,Thirteen days,2000,FAIL,108232671,46765640.0,90042204.0,"Drama,History,Thriller",Drama,History,Thriller,7.3,51369
120913,3,Titan A.E.,2000,PASS,101468129,30781343.0,49722060.0,"Action,Adventure,Animation",Action,Adventure,Animation,6.6,56840
217869,0,Unbreakable,2000,FAIL,99091212,128525137.0,335655410.0,"Drama,Mystery,Sci-Fi",Drama,Mystery,Sci-Fi,7.3,362091
190865,1,Vertical Limit,2000,FAIL,101468129,92638183.0,288845939.0,"Action,Adventure,Drama",Action,Adventure,Drama,5.9,55885
202677,2,"Way of the Gun, The",2000,FAIL,12176175,8182195.0,17671601.0,"Action,Crime,Drama",Action,Crime,Drama,6.7,30507
