bechdel_rating,title,year,binary,budget_2013$,domgross_2013$,intgross_2013$,genres,averageRating,numVotes
1,"Messenger, The",2009,FAIL,7057255,1204793.0,1530512.0,"Drama,Romance,War",7.1,32747
3,Monsters vs Aliens,2009,FAIL,190003029,215356519.0,414410048.0,"Action,Animation,Comedy",6.4,138214
2,Nine,2009,FAIL,86858528,21363903.0,58096258.0,"Drama,Musical,Romance",5.8,41109
0,Perrier&#39;s Bounty,2009,FAIL,7165829,899.0,899.0,"Action,Comedy,Crime",6.4,6077
1,Planet 51,2009,FAIL,65143896,45811424.0,118340524.0,"Adventure,Animation,Comedy",6.0,48030
3,Precious: Based on the Novel Push by Sapphire,2009,PASS,10857316,51644478.0,74614567.0,Drama,7.3,101176
3,"Princess and the Frog, The",2009,PASS,114001818,113351355.0,294230416.0,"Adventure,Animation,Comedy",7.1,112723
3,Push,2009,PASS,41257801,34538780.0,48218998.0,"Action,Adventure,Crime",6.1,101670
1,"Road, The",2009,FAIL,27143290,8809919.0,29981685.0,Drama,7.2,210713
0,"Secret of Kells, The",2009,FAIL,8685853,749470.0,2823897.0,"Adventure,Animation,Family",7.7,28756
1,Sherlock Holmes,2009,FAIL,97715844,226949041.0,541170116.0,"Action,Adventure,Crime",7.6,555384
1,"Soloist, The",2009,FAIL,65143896,34439578.0,41750888.0,"Biography,Drama,Music",6.7,49380
3,Star Trek,2009,PASS,152002424,279825625.0,418745446.0,"Action,Adventure,Sci-Fi",7.9,560557
3,State of Play,2009,PASS,65143896,40191563.0,99285148.0,"Crime,Drama,Mystery",7.1,128772
1,Surrogates,2009,FAIL,86858528,41885106.0,129927709.0,"Action,Crime,Sci-Fi",6.3,164421
2,Terminator Salvation,2009,FAIL,217146319,136066564.0,403488847.0,"Action,Sci-Fi",6.5,325191
3,"Time Traveler&#39;s Wife, The",2009,FAIL,42343532,68851502.0,107125483.0,"Drama,Fantasy,Romance",7.1,134221
3,Watchmen,2009,FAIL,149830960,116726786.0,199848831.0,"Action,Drama,Mystery",7.6,461726
1,Where the Wild Things Are,2009,FAIL,108573160,83854815.0,107621685.0,"Adventure,Drama,Family",6.7,97225
3,Whiteout,2009,PASS,38000606,11156585.0,13305365.0,"Action,Crime,Horror",5.5,36013
3,X-Men Origins: Wolverine,2009,FAIL,162859739,195304827.0,406960171.0,"Action,Adventure,Sci-Fi",6.6,444643
3,"Young Victoria, The",2009,PASS,38000606,11944429.0,34611919.0,"Biography,Drama,History",7.3,54659
1,Youth in Revolt,2009,FAIL,19543169,16596046.0,21373265.0,"Comedy,Drama,Romance",6.4,70761
3,21,2008,PASS,37878971,87835235.0,170836899.0,"Crime,Drama,History",6.8,216333
1,Appaloosa,2008,FAIL,21645126,21873909.0,30016892.0,"Action,Crime,Drama",6.7,56204
2,Australia,2008,FAIL,140693320,53630131.0,232772564.0,"Adventure,Comedy,Drama",6.6,114924
3,Baby Mama,2008,PASS,32467689,65470243.0,69688090.0,"Comedy,Romance",6.0,39826
3,"Bank Job, The",2008,PASS,21645126,32533339.0,71583685.0,"Crime,Thriller",7.2,167371
1,Be Kind Rewind,2008,FAIL,21645126,12094392.0,33435494.0,Comedy,6.4,86365
3,Bedtime Stories,2008,PASS,86580505,119158557.0,236319281.0,"Comedy,Family,Fantasy",6.0,83596
3,Blindness,2008,PASS,27056408,3326198.0,21702440.0,"Drama,Mystery,Sci-Fi",6.6,66713
3,Bolt,2008,PASS,162338447,123435400.0,339778437.0,"Adventure,Animation,Comedy",6.8,177506
3,"Brothers Bloom, The",2008,FAIL,21645126,3822265.0,5986778.0,"Action,Adventure,Comedy",6.8,46715
1,Burn After Reading,2008,FAIL,40043484,65319955.0,176857711.0,"Comedy,Crime,Drama",7.0,291934
3,Changeling,2008,PASS,59524097,38679626.0,123166807.0,"Biography,Crime,Drama",7.7,225457
1,Che: Part One,2008,FAIL,62770866,317867.0,32595998.0,"Biography,Drama,History",7.2,42519
3,"Chronicles of Narnia: Prince Caspian, The",2008,PASS,243507670,153270751.0,453996009.0,"Action,Adventure,Family",6.5,182249
3,City of Ember,2008,PASS,41125740,8519189.0,12789087.0,"Adventure,Family,Fantasy",6.5,60159
3,"Curious Case of Benjamin Button, The",2008,FAIL,173161010,137997773.0,356938225.0,"Drama,Fantasy,Romance",7.8,548602
